Epoch 168/200: loss=0.218296, full=0.218177, mcep_l1=0.2345, in_range=100.0%, lr=5.00e-04
Epoch 169/200: loss=0.218318, full=0.218290, mcep_l1=0.2347, in_range=100.0%, lr=5.00e-04
Epoch 170/200: loss=0.218360, full=0.218081, mcep_l1=0.2344, in_range=100.0%, lr=5.00e-04
Epoch 171/200: loss=0.218274, full=0.218177, mcep_l1=0.2345, in_range=100.0%, lr=5.00e-04
Epoch 172/200: loss=0.218158, full=0.218105, mcep_l1=0.2345, in_range=100.0%, lr=5.00e-04
Epoch 173/200: loss=0.218229, full=0.218084, mcep_l1=0.2344, in_range=100.0%, lr=5.00e-04
Epoch 174/200: loss=0.218146, full=0.217870, mcep_l1=0.2342, in_range=100.0%, lr=5.00e-04
Epoch 175/200: loss=0.217957, full=0.217630, mcep_l1=0.2340, in_range=100.0%, lr=5.00e-04
Epoch 176/200: loss=0.217999, full=0.217747, mcep_l1=0.2341, in_range=100.0%, lr=5.00e-04
Epoch 177/200: loss=0.217857, full=0.217690, mcep_l1=0.2340, in_range=100.0%, lr=5.00e-04
Epoch 178/200: loss=0.217838, full=0.217753, mcep_l1=0.2341, in_range=100.0%, lr=5.00e-04
Epoch 179/200: loss=0.217787, full=0.217453, mcep_l1=0.2338, in_range=100.0%, lr=5.00e-04
Epoch 180/200: loss=0.217580, full=0.217469, mcep_l1=0.2338, in_range=100.0%, lr=5.00e-04
Epoch 181/200: loss=0.217588, full=0.217393, mcep_l1=0.2337, in_range=100.0%, lr=5.00e-04
Epoch 182/200: loss=0.217590, full=0.217588, mcep_l1=0.2339, in_range=100.0%, lr=5.00e-04
Epoch 183/200: loss=0.217589, full=0.217446, mcep_l1=0.2338, in_range=100.0%, lr=5.00e-04
Epoch 184/200: loss=0.217438, full=0.217223, mcep_l1=0.2335, in_range=100.0%, lr=5.00e-04
Epoch 185/200: loss=0.217310, full=0.217285, mcep_l1=0.2336, in_range=100.0%, lr=5.00e-04
Epoch 186/200: loss=0.217393, full=0.217068, mcep_l1=0.2333, in_range=100.0%, lr=5.00e-04
Epoch 187/200: loss=0.217365, full=0.216969, mcep_l1=0.2332, in_range=100.0%, lr=5.00e-04
Epoch 188/200: loss=0.217248, full=0.217086, mcep_l1=0.2334, in_range=100.0%, lr=5.00e-04
Epoch 189/200: loss=0.217208, full=0.216928, mcep_l1=0.2332, in_range=100.0%, lr=5.00e-04
Epoch 190/200: loss=0.217128, full=0.216834, mcep_l1=0.2331, in_range=100.0%, lr=5.00e-04
Epoch 191/200: loss=0.217035, full=0.216929, mcep_l1=0.2332, in_range=100.0%, lr=5.00e-04
Epoch 192/200: loss=0.217011, full=0.216953, mcep_l1=0.2332, in_range=100.0%, lr=5.00e-04
Epoch 193/200: loss=0.216952, full=0.216875, mcep_l1=0.2331, in_range=100.0%, lr=5.00e-04
Epoch 194/200: loss=0.216872, full=0.216754, mcep_l1=0.2330, in_range=100.0%, lr=5.00e-04
Epoch 195/200: loss=0.216814, full=0.216600, mcep_l1=0.2328, in_range=100.0%, lr=5.00e-04
Epoch 196/200: loss=0.216838, full=0.216829, mcep_l1=0.2331, in_range=100.0%, lr=5.00e-04
Epoch 197/200: loss=0.216768, full=0.216434, mcep_l1=0.2327, in_range=100.0%, lr=5.00e-04
Epoch 198/200: loss=0.216855, full=0.216506, mcep_l1=0.2327, in_range=100.0%, lr=5.00e-04
Epoch 199/200: loss=0.216746, full=0.216505, mcep_l1=0.2327, in_range=100.0%, lr=5.00e-04
Epoch 200/200: loss=0.216614, full=0.216421, mcep_l1=0.2327, in_range=100.0%, lr=5.00e-04
